Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-23,80.0,2.0,2.35,0.2365,0.5263,0.076,0.0881
2019-02-23,80.0,1.85,2.07,0.2307,-0.4768,0.0791,0.0881
2019-02-23,81.5,1.3,1.59,0.2289,0.4101,0.0767,0.0861
2019-02-23,81.5,2.47,2.91,0.2179,-0.6008,0.0819,0.086
2019-02-23,83.0,0.78,1.01,0.2221,0.2971,0.0704,0.0766
2019-02-23,83.0,3.4,3.95,0.2134,-0.719,0.0743,0.0744
2019-02-23,85.5,0.28,0.54,0.2264,0.1599,0.0485,0.0538
2019-02-23,85.5,5.45,6.15,0.232,-0.8444,0.0504,0.0531
2019-02-23,88.0,0.09,0.25,0.2264,0.0728,0.0276,0.0306
2019-02-23,88.0,7.05,8.55,0.232,-0.9375,0.0306,0.0284
2019-02-23,90.0,0.04,0.28,0.2264,0.0349,0.0154,0.0171
2019-02-23,90.0,9.3,10.45,0.232,-0.9815,0.0188,0.0113
2019-03-02,68.0,11.85,12.6,0.4311,0.9771,0.008,0.0085
2019-03-02,68.0,0.03,0.05,0.4053,-0.0171,0.0067,0.0066
2019-03-02,72.0,8.2,8.45,0.3649,0.9387,0.0212,0.019
2019-03-02,72.0,0.08,0.11,0.3288,-0.044,0.0181,0.0146
2019-03-02,74.5,5.65,6.0,0.2704,0.9216,0.0346,0.0229
2019-03-02,74.5,0.17,0.2,0.2837,-0.0882,0.036,0.025
2019-03-02,77.0,3.5,3.75,0.2527,0.8005,0.0707,0.0438
2019-03-02,77.0,0.4,0.46,0.2476,-0.1952,0.0716,0.0439
2019-03-02,78.5,2.39,2.47,0.2329,0.6869,0.0971,0.0555
2019-03-02,78.5,0.72,0.78,0.2315,-0.3132,0.0984,0.0554
2019-03-02,80.0,1.43,1.48,0.2187,0.5292,0.1162,0.0623
2019-03-02,80.0,1.25,1.32,0.2189,-0.473,0.1174,0.0623
2019-03-02,81.5,0.74,0.78,0.2091,0.352,0.1134,0.0581
2019-03-02,81.5,2.04,2.13,0.2079,-0.6529,0.1157,0.0573
2019-03-02,83.5,0.22,0.27,0.1994,0.1533,0.0758,0.037
2019-03-02,83.5,3.4,3.7,0.1891,-0.8694,0.0778,0.0346
2019-03-02,85.5,0.06,0.09,0.2043,0.0559,0.0353,0.0177
2019-03-02,85.5,5.15,5.65,0.2043,-0.9566,0.0378,0.0154
2019-03-02,88.0,0.01,0.03,0.2162,0.0146,0.0109,0.0058
2019-03-02,88.0,7.75,8.25,0.2162,-1.0,0.0038,0.0003
2019-03-02,92.0,0.0,0.03,0.2162,0.0006,0.0006,0.0003
2019-03-02,92.0,11.55,12.2,0.2162,-1.0,0.0,0.0
2019-03-02,70.0,9.7,12.5,0.3615,0.9217,0.0183,0.0324
2019-03-02,70.0,0.14,0.4,0.2816,-0.0364,0.0128,0.0177
2019-03-02,72.0,7.75,9.8,0.3615,0.8718,0.0261,0.0464
2019-03-02,72.0,0.15,0.29,0.2816,-0.0759,0.023,0.0325
2019-03-02,74.5,5.65,6.85,0.2743,0.8457,0.0391,0.0526
2019-03-02,74.5,0.41,0.64,0.2774,-0.1571,0.0393,0.053
2019-03-02,77.0,4.0,4.3,0.2478,0.7383,0.0593,0.0721
2019-03-02,77.0,0.79,0.93,0.2415,-0.2579,0.0608,0.0733
2019-03-02,78.5,2.84,3.15,0.2285,0.6485,0.0732,0.0822
2019-03-02,78.5,1.17,1.43,0.2346,-0.3564,0.0725,0.0825
2019-03-02,80.0,1.93,2.25,0.2221,0.5329,0.0808,0.0881
2019-03-02,80.0,1.7,2.02,0.2236,-0.4704,0.0815,0.0881
2019-03-02,81.5,1.21,1.6,0.2205,0.4122,0.0797,0.0863
2019-03-02,81.5,2.41,2.76,0.2113,-0.598,0.0846,0.0867
2019-03-02,83.5,0.63,0.96,0.2233,0.2707,0.0669,0.0734
2019-03-02,83.5,3.7,4.2,0.2074,-0.7549,0.0719,0.07
2019-03-02,85.5,0.27,0.34,0.2036,0.1367,0.0485,0.0485
2019-03-02,85.5,5.25,6.1,0.2209,-0.8541,0.0513,0.0515
2019-03-02,88.0,0.08,0.13,0.2052,0.0555,0.0246,0.0248
2019-03-02,88.0,7.3,8.15,0.2052,-0.9648,0.0277,0.0184
