Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-23,91.5,0.25,0.7,0.2315,0.1671,0.0456,0.0593
2019-02-23,91.5,4.4,7.2,0.1962,-0.8902,0.047,0.0464
2019-02-23,93.5,0.05,0.55,0.2315,0.0962,0.0311,0.0405
2019-02-23,93.5,5.9,9.9,0.1962,-0.9601,0.0289,0.0222
2019-02-23,95.0,0.0,0.8,0.2315,0.0604,0.0218,0.0284
2019-02-23,95.0,7.3,11.6,0.1962,-0.993,0.0163,0.0069
2019-03-02,70.0,12.8,15.0,0.4296,0.9812,0.0066,0.0075
2019-03-02,70.0,0.0,0.15,0.3311,-0.0037,0.0021,0.0018
2019-03-02,75.0,7.4,9.5,0.4296,0.8957,0.026,0.0294
2019-03-02,75.0,0.1,0.2,0.3311,-0.0538,0.0203,0.0177
2019-03-02,77.0,6.2,6.5,0.3272,0.8881,0.0359,0.0309
2019-03-02,77.0,0.15,0.35,0.3272,-0.1117,0.036,0.0316
2019-03-02,79.5,3.9,4.3,0.2821,0.7945,0.0622,0.0462
2019-03-02,79.5,0.45,0.7,0.2885,-0.2107,0.062,0.0472
2019-03-02,81.5,2.45,2.75,0.2666,0.6517,0.0855,0.06
2019-03-02,81.5,0.85,1.15,0.259,-0.3457,0.0884,0.06
2019-03-02,83.0,1.5,1.85,0.2543,0.5157,0.0966,0.0647
2019-03-02,83.0,1.4,1.75,0.2473,-0.4863,0.1005,0.0646
2019-03-02,84.5,0.8,1.1,0.2398,0.3657,0.0967,0.061
2019-03-02,84.5,2.2,2.55,0.2361,-0.6401,0.0994,0.0616
2019-03-02,86.5,0.25,0.5,0.2093,0.1656,0.0733,0.0404
2019-03-02,86.5,3.6,3.9,0.2093,-0.8419,0.0753,0.0403
2019-03-02,89.0,0.05,0.2,0.2093,0.0477,0.0292,0.0161
2019-03-02,89.0,5.3,6.9,0.2093,-0.9654,0.0315,0.0138
2019-03-02,91.5,0.0,0.1,0.2093,0.0095,0.0075,0.0041
2019-03-02,91.5,6.9,10.6,0.2093,-1.0,0.0,0.0
2019-03-02,95.0,0.0,0.1,0.2093,0.0006,0.0006,0.0003
2019-03-02,95.0,10.9,13.1,0.2093,-1.0,0.0,0.0
2019-03-02,70.0,12.4,15.2,0.4065,0.9436,0.0122,0.0261
2019-03-02,70.0,0.0,2.0,0.4065,-0.0564,0.0122,0.0261
2019-03-02,75.0,7.5,10.3,0.4065,0.8346,0.0266,0.0571
2019-03-02,75.0,0.15,0.95,0.4065,-0.1654,0.0268,0.0596
2019-03-02,77.0,6.1,8.8,0.4065,0.7699,0.0325,0.0697
2019-03-02,77.0,0.5,1.1,0.4065,-0.2306,0.0328,0.0706
2019-03-02,79.5,4.2,6.8,0.3771,0.6848,0.041,0.0816
2019-03-02,79.5,0.9,1.25,0.2762,-0.2672,0.0522,0.076
2019-03-02,81.5,3.0,3.9,0.281,0.6161,0.0592,0.0877
2019-03-02,81.5,1.4,1.85,0.2585,-0.3785,0.0647,0.0874
2019-03-02,83.0,1.9,2.85,0.2518,0.5236,0.0689,0.0914
2019-03-02,83.0,1.75,2.6,0.2441,-0.4796,0.0721,0.0914
2019-03-02,84.5,1.4,2.05,0.2536,0.4223,0.0672,0.0899
